BIÊN BẢN NGHIỆM THU KIÊM YÊU CẦU CẬP NHẬT HỆ THỐNG (NHSV - HỆ THỐNG PHÁI SINH WTS)																	
		Tester/BA	CS	IT	DVTC												
	Tổng số case test	524	524	0	0												
Test result	Passed	262	290	288	0												
	Failed	4	12	12	0												
	N/A	258	0	218	0												
STT	Chức năng	Summary (Kịch bản kiểm thử)	Tiền điều kiện	Action (Các bước thực hiện)	Expect result (Kết quả mong muốn)	Ghi chú	Phong ban Test	KẾT QUẢ TEST UAT			KẾT QUẢ TEST Pilot						
								Tester	CS	DVTC	Tester	CS	DVTC				
1. Thị trường																	
Bảng giá phái sinh																	
TC_22				1. Đăng nhập MTS 2. Chọn chức năng Phái sinh 3. Chọn Module Giá hiện tại 4. Kiểm tra trường Tổng LKGD	 => Dữ liệu cập nhật realtime		DVKH	PASS	PASS								
TC_23			Kiểm tra dữ liệu theo ngày	Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Ngày Bước 5: Kiểm tra dữ liệu	Bước 5: Mặc định hiển thị dữ liệu Theo ngày từ ngày T0 trở về trước		DVKH	PASS	PASS								
TC_24				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Ngày Bước 5: Kiểm tra trường Giờ hiện tại	Bước 4: Là ngày giao dịch		DVKH	PASS	PASS								
TC_25				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Ngày Bước 5: Kiểm tra trường (+/-)/(%)	Bước 4: = Giá hiện tại - giá tham chiếu Nếu > 0 thì hiển thị màu xanh Nếu = 0 thì hiển thị màu vàng Nếu < 0 thì hiển thị màu đỏ		DVKH	PASS	PASS								
TC_26				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Ngày Bước 5: Kiểm tra trường KLGD/GTDG	Bước 4: KL HĐ khớp trong ngày của mã HĐ/ GTDG của mã HĐ realtime		DVKH	FAIL	FAIL								
TC_27				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Ngày Bước 5: Kiểm tra trường Mở cửa/OI	Bước 4: Giá mở cửa của mã HĐ của ngày có đổ màu/ KL HĐ mở cuối ngày		DVKH	PASS	PASS								
TC_28				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Ngày Bước 5: Kiểm tra trường Giá cao nhất/Giá thấp nhất	Bước 4: Giá cao nhất của mã HĐ trong ngày có đổ màu/Giá thấp nhất của mã HĐ trong ngày có đổ màu		DVKH	PASS	PASS								
TC_29			Kiểm tra dữ liệu theo tuần	Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường Ngày	Bước 5: Là ngày đầu tiên GD của mã HĐ với tuần đầu. Các tuần sau là ngày thứ 2 đầu tuần		DVKH	PASS	PASS								
TC_30				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường Số ngày	Bước 5: Số ngày GD trong tuần		DVKH	PASS	PASS								
TC_31				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tuần Bước 5: Kiểm tra trường Giá hiện tại	Bước 5: Giá đóng cửa phiên GD ngày cuối cùng của tuần		DVKH	PASS	PASS								
